condition,Angle
SU5402_6h,266.479
SU5402_6h,267.797
SU5402_6h,255.651
SU5402_6h,310.462
SU5402_6h,259.38
SU5402_6h,289.885
SU5402_6h,281.31
SU5402_6h,180
SU5402_6h,166.504
SU5402_6h,201.161
SU5402_6h,264.193
SU5402_6h,265.389
SU5402_6h,278.973
SU5402_6h,258.056
SU5402_6h,151.966
SU5402_6h,311.082
SU5402_6h,307.875
SU5402_6h,137.579
SU5402_6h,112.286
SU5402_6h,174.56
SU5402_6h,207.699
SU5402_6h,308.991
SU5402_6h,257.196
SU5402_6h,241.504
SU5402_6h,155.556
SU5402_6h,231.147
SU5402_6h,47.951
SU5402_6h,186.981
SU5402_6h,296.114
SU5402_6h,189.904
SU5402_6h,271.79
SU5402_6h,206.075
SU5402_6h,235.561
SU5402_6h,203.025
SU5402_6h,92.337
SU5402_6h,360
SU5402_6h,307.747
SU5402_6h,234.638
SU5402_6h,261.469
SU5402_6h,178.958
SU5402_6h,212.905
SU5402_6h,118.74
SU5402_6h,105.068
SU5402_6h,102.995
SU5402_6h,238.325
SU5402_6h,201.371
SU5402_6h,345.579
SU5402_6h,3.9
SU5402_6h,24.179
SU5402_6h,4.16
SU5402_6h,104.381
SU5402_6h,186.203
SU5402_6h,191.689
SU5402_6h,151.821
SU5402_6h,114.567
SU5402_6h,124.992
SU5402_6h,114.146
SU5402_6h,117.255
SU5402_6h,95.528
SU5402_6h,46.397
SU5402_6h,63.435
SU5402_6h,41.634
SU5402_6h,42.58
SU5402_6h,51.009
SU5402_6h,41.348
SU5402_6h,200.225
SU5402_6h,251.075
SU5402_6h,325.305
SU5402_6h,341.259
SU5402_6h,19.983
SU5402_6h,19.983
SU5402_6h,59.982
SU5402_6h,287.103
SU5402_6h,294.146
SU5402_6h,358.152
SU5402_6h,308.157
SU5402_6h,275.013
SU5402_6h,241.144
SU5402_6h,247.38
SU5402_6h,246.297
SU5402_6h,268.877
SU5402_6h,33.232
SU5402_6h,7.306
SU5402_6h,333.435
SU5402_6h,330.255
SU5402_6h,314.091
SU5402_6h,284.621
SU5402_6h,263.83
SU5402_6h,157.834
SU5402_6h,186.71
SU5402_6h,323.427
SU5402_6h,270
SU5402_6h,279.162
SU5402_6h,272.291
SU5402_6h,264.806
SU5402_6h,263.558
SU5402_6h,222.138
SU5402_6h,120.256
SU5402_6h,122.196
SU5402_6h,138.18
SU5402_6h,42.879
SU5402_6h,274.927
SU5402_6h,88.531
SU5402_6h,90
SU5402_6h,129.472
SU5402_6h,151.074
SU5402_6h,292.751
SU5402_6h,309.174
SU5402_6h,18.189
SU5402_6h,116.565
SU5402_6h,201.371
SU5402_6h,197.301
SU5402_6h,278.616
SU5402_6h,279.162
SU5402_6h,268.409
SU5402_6h,340.974
SU5402_6h,28.61
SU5402_6h,226.332
SU5402_6h,234.09
SU5402_6h,211.43
SU5402_6h,203.629
SU5402_6h,216.607
SU5402_6h,205.677
SU5402_6h,225
SU5402_6h,266.009
SU5402_6h,225
SU5402_6h,180
SU5402_6h,206.565
SU5402_6h,307.747
SU5402_6h,173.211
SU5402_6h,206.565
SU5402_6h,265.135
SU5402_6h,219.472
SU5402_6h,225
SU5402_6h,208.74
SU5402_6h,189.689
SU5402_6h,128.991
SU5402_6h,128.089
SU5402_6h,289.983
SU5402_6h,272.603
SU5402_6h,123.341
SU5402_6h,144.689
SU5402_6h,125.676
SU5402_6h,113.552
SU5402_6h,94.399
SU5402_6h,194.281
SU5402_6h,109.44
SU5402_6h,142.125
SU5402_6h,268.452
SU5402_6h,120.579
SU5402_6h,281.821
SU5402_6h,128.66
SU5402_6h,135
SU5402_6h,201.801
SU5402_6h,187.989
SU5402_6h,164.65
SU5402_6h,159.444
SU5402_6h,164.932
SU5402_6h,227.564
SU5402_6h,216.87
SU5402_6h,207.979
SU5402_6h,207.759
SU5402_6h,214.824
SU5402_6h,184.635
SU5402_6h,141.71
SU5402_6h,147.804
SU5402_6h,198.435
SU5402_6h,203.199
SU5402_6h,141.911
SU5402_6h,284.676
SU5402_6h,272.045
SU5402_6h,145.176
SU5402_6h,229.686
SU5402_6h,145.561
SU5402_6h,141.582
SU5402_6h,186.953
SU5402_6h,216.87
SU5402_6h,110.925
SU5402_6h,249.677
SU5402_6h,112.751
SU5402_6h,125.538
SU5402_6h,168.311
SU5402_6h,149.826
SU5402_6h,147.339
SU5402_6h,137.203
SU5402_6h,262.875
SU5402_6h,241.607
SU5402_6h,160.017
SU5402_6h,219.987
SU5402_6h,358.091
SU5402_6h,2.291
SU5402_6h,276.71
SU5402_6h,284.036
SU5402_6h,267.614
SU5402_6h,256.866
SU5402_6h,193.241
SU5402_6h,42.274
SU5402_6h,266.82
SU5402_6h,247.166
SU5402_6h,244.026
SU5402_6h,259.38
SU5402_6h,302.196
SU5402_6h,351.469
SU5402_6h,243.435
SU5402_6h,278.531
SU5402_6h,163.61
SU5402_6h,219.472
SU5402_6h,36.254
SU5402_6h,354.289
SU5402_6h,333.435
SU5402_6h,344.055
SU5402_6h,258.69
SU5402_6h,250.71
SU5402_6h,213.69
SU5402_6h,272.01
SU5402_6h,321.546
SU5402_6h,341.147
SU5402_6h,335.659
SU5402_6h,70.145
SU5402_6h,2.203
SU5402_6h,52.125
SU5402_6h,40.236
SU5402_6h,65.095
SU5402_6h,311.186
SU5402_6h,326.853
SU5402_6h,258.179
SU5402_6h,249.624
SU5402_6h,2.121
SU5402_6h,7.306
SU5402_6h,65.898
SU5402_6h,69.305
SU5402_6h,102.381
SU5402_6h,180
SU5402_6h,137.045
SU5402_6h,233.13
SU5402_6h,221.76
SU5402_6h,268.958
SU5402_6h,235.376
SU5402_6h,264.644
SU5402_6h,258.69
SU5402_6h,100.305
SU5402_6h,114.624
SU5402_6h,139.399
SU5402_6h,260.91
SU5402_6h,259.114
SU5402_6h,242.354
SU5402_6h,237.426
SU5402_6h,252.759
SU5402_6h,222.709
SU5402_6h,24.864
SU5402_6h,306.469
SU5402_6h,142.595
SU5402_6h,261.87
SU5402_6h,349.287
SU5402_6h,189.926
SU5402_6h,175.914
SU5402_6h,193.496
SU5402_6h,106.39
SU5402_6h,83.29
SU5402_6h,180
SU5402_6h,126.027
SU5402_6h,153.435
SU5402_6h,181.193
SU5402_6h,166.264
SU5402_6h,119.358
SU5402_6h,165.174
SU5402_6h,138.18
SU5402_6h,126.87
SU5402_6h,92.386
SU5402_6h,200.772
SU5402_6h,242.526
SU5402_6h,260.538
SU5402_6h,219.987
SU5402_6h,226.332
SU5402_6h,76.827
SU5402_6h,226.637
SU5402_6h,199.093
SU5402_6h,286.314
SU5402_6h,290.225
SU5402_6h,252.121
SU5402_6h,245.225
SU5402_6h,82.528
SU5402_6h,109.502
SU5402_6h,343.496
SU5402_6h,42.879
SU5402_6h,55.491
SU5402_6h,308.884
SU5402_6h,138.366
SU5402_6h,14.47
SU5402_6h,258.996
SU5402_6h,192.68
SU5402_6h,225.939
SU5402_6h,213.69
SU5402_6h,92.045
SU5402_6h,99.462
SU5402_6h,84.806
SU5402_6h,262.304
SU5402_6h,251.565
SU5402_6h,270
SU5402_6h,300.579
SU5402_6h,291.413
SU5402_6h,268.025
SU5402_6h,292.38
